종목코드,종목명,시가총액
478780,대신밸런스제18호스팩,"18,272,100,000"
482690,대신밸런스제19호스팩,"11,875,725,000"
20180,대신정보통신,"38,428,915,000"
45390,대아티아이,"319,244,397,810"
108380,대양전기공업,"268,363,690,650"
7680,대원,"62,996,730,690"
48910,대원미디어,"111,323,672,100"
5710,대원산업,"224,821,872,000"
120240,대정화금,"92,252,716,530"
3310,대주산업,"58,149,631,050"
78600,대주전자재료,"1,063,516,739,100"
393970,대진첨단소재,"95,291,520,800"
96350,대창솔루션,"82,001,845,895"
140520,대창스틸,"46,968,065,675"
131220,대한과학,"35,707,007,100"
10170,대한광통신,"187,421,733,472"
54670,대한뉴팜,"99,336,046,400"
23910,대한약품,"177,300,000,000"
21040,대호특수강,"30,039,407,216"
21045,대호특수강우,"2,481,839,100"
67080,대화제약,"309,408,723,000"
298540,더네이쳐홀딩스,"147,888,629,760"
32860,더라미,"54,049,664,694"
214610,더바이오메드,"39,695,029,670"
393890,더블유씨피,"231,487,104,960"
299170,더블유에스아이,"68,323,039,740"
462860,더즌,"344,224,363,200"
224060,더코디,"14,837,075,750"
43090,더테크놀로지,"4,718,944,500"
213420,덕산네오룩스,"1,185,688,797,250"
317330,덕산테코피아,"355,473,498,240"
77360,덕산하이메탈,"286,253,112,600"
90410,덕신이피씨,"65,116,826,235"
263600,덕우전자,"73,598,032,200"
194480,데브시스터즈,"651,648,210,000"
373160,데이원컴퍼니,"85,058,615,400"
263800,데이타솔루션,"89,223,090,000"
206560,덱스터,"138,748,078,560"
261200,덴티스,"86,795,253,000"
484120,도우인시스,"339,921,895,200"
67990,도이치모터스,"137,736,916,000"
6620,동구바이오제약,"153,141,656,960"
100130,동국S&C,"137,714,630,000"
5160,동국산업,"165,988,114,920"
303810,동국생명과학,"135,452,832,900"
75970,동국알앤에스,"42,872,000,000"
86450,동국제약,"868,949,109,600"
240550,동방메디컬,"229,120,962,600"
99410,동방선기,"76,580,000,000"
33500,동성화인텍,"923,676,415,200"
25950,동신건설,"136,920,000,000"
88130,동아엘텍,"73,788,025,080"
41930,동아화성,"96,538,000,000"
60380,동양에스텍,"33,174,800,000"
79960,동양이엔피,"172,920,000,000"
228340,동양파일,"36,740,000,000"
88910,동우팜투테이블,"55,925,769,060"
94170,동운아나텍,"378,469,841,600"
13120,동원개발,"246,089,951,000"
109860,동일금속,"73,073,000,000"
32960,동일기연,"53,912,408,550"
23790,동일스틸럭스,"74,236,512,280"
5290,동진쎄미켐,"2,151,696,573,900"
25900,동화기업,"460,071,293,500"
131970,두산테스나,"804,013,100,800"
73190,듀오백,"22,212,682,240"
176750,듀켐바이오,"284,552,200,000"
30350,드래곤플라이,"13,503,093,562"
203650,드림시큐리티,"171,900,037,090"
223250,드림씨아이에스,"96,387,262,200"
60570,드림어스컴퍼니,"138,569,941,510"
362990,드림인사이트,"35,281,205,400"
16670,디모아,"32,023,162,080"
187870,디바이스,"84,720,772,360"
489730,디비금융제13호스팩,"12,853,960,000"
0004Y0,디비금융제14호스팩,"10,656,575,000"
110990,디아이티,"279,909,000,000"
263690,디알젬,"67,953,660,000"
214680,디알텍,"164,468,153,880"
347850,디앤디파마텍,"2,071,385,665,200"
263720,디앤씨미디어,"188,869,052,840"
376300,디어유,"1,065,854,429,400"
109740,디에스케이,"195,398,964,000"
31860,디에이치엑스컴퍼니,"13,050,735,960"
196490,디에이테크놀로지,"36,245,520,080"
66900,디에이피,"50,037,906,600"
92070,디엔에프,"181,909,607,760"
39840,디오,"252,139,025,980"
219550,디와이디,"33,154,312,975"
310870,디와이씨,"25,114,346,994"
104460,디와이피엔에프,"158,454,513,750"
79810,디이엔티,"134,811,935,280"
113810,디젠스,"25,384,623,678"
43360,디지아이,"20,430,000,000"
197140,디지캡,"26,286,571,080"
68930,디지털대성,"202,860,256,860"
33130,디지틀조선,"56,600,782,175"
105740,디케이락,"98,634,576,100"
263020,디케이앤디,"45,456,970,185"
290550,디케이티,"175,410,787,100"
66670,디티씨,"56,356,132,770"
187220,디티앤씨,"34,041,241,110"
383930,디티앤씨알오,"39,630,796,800"
131180,딜리,"28,586,900,000"
315640,딥노이드,"112,007,836,360"
317120,라닉스,"31,054,100,000"
462510,라메디텍,"64,729,721,700"
42510,라온시큐어,"121,688,189,640"
232680,라온테크,"106,540,989,000"
418420,라온텍,"145,923,653,980"
300120,라온피플,"78,642,245,240"
171120,라이온켐텍,"79,163,380,800"
388790,라이콤,"72,827,690,600"
214260,라파스,"126,609,749,970"
171010,램테크놀러지,"63,343,471,360"
84650,랩지노믹스,"177,433,576,100"
217500,러셀,"72,690,420,000"
38390,레드캡투어,"197,305,699,600"
294140,레몬,"138,523,575,240"
443250,레뷰코퍼레이션,"127,894,490,000"
228670,레이,"92,988,218,000"
228850,레이언스,"97,389,252,180"
412350,레이저쎌,"21,642,890,560"
199550,레이저옵텍,"89,294,958,480"
281740,레이크머티리얼즈,"860,412,873,320"
277810,레인보우로보틱스,"5,693,858,323,000"
215100,로보로보,"138,369,487,200"
90360,로보스타,"499,200,000,000"
108490,로보티즈,"2,010,847,176,000"
900260,로스웰,"39,057,916,192"
67730,로지시스,"29,215,244,440"
71280,로체시스템즈,"197,938,042,820"
376900,로킷헬스케어,"294,200,736,170"
328130,루닛,"1,232,433,698,000"
38060,루멘스,"36,365,920,164"
474170,루미르,"159,726,540,960"
141080,리가켐바이오,"5,729,517,897,000"
58470,리노공업,"4,069,712,790,000"
16100,리더스코스메틱,"44,505,083,020"
12700,리드코프,"105,784,540,000"
302550,리메드,"113,068,945,520"
73570,리튬포어스,"74,751,808,122"
377450,리파인,"246,432,600,000"
277070,린드먼아시아,"78,592,080,000"
42500,링네트,"76,089,834,660"
193250,링크드,"29,002,106,666"
474650,링크솔루션,"109,460,607,840"
219420,링크제니시스,"59,985,521,610"
439090,마녀공장,"276,792,594,000"
195500,마니커에프앤지,"44,818,290,000"
377480,마음AI,"174,520,426,250"
305090,마이크로디지탈,"191,386,616,540"
98120,마이크로컨텍솔,"185,374,681,800"
424980,마이크로투나노,"55,341,621,500"
38290,마크로젠,"169,451,082,000"
267980,매일유업,"274,741,422,300"
5990,매일홀딩스,"150,078,245,760"
93520,매커스,"305,922,787,200"
100590,머큐리,"50,656,073,600"
67280,멀티캠퍼스,"194,398,351,200"
72870,메가스터디,"134,587,627,110"
215200,메가스터디교육,"500,846,245,500"
133750,메가엠디,"45,152,251,533"
446540,메가터치,"85,888,085,000"
235980,메드팩토,"152,695,664,055"
41920,메디아나,"98,384,599,670"
14100,메디앙스,"23,954,000,000"
54180,메디콕스,"12,686,716,395"
86900,메디톡스,"902,824,078,900"
78160,메디포스트,"513,266,775,000"
408920,메쎄이상,"140,073,154,200"
21880,메이슨캐피탈,"61,745,662,728"
140410,메지온,"1,933,372,728,000"
241770,메카로,"181,428,992,000"
59210,메타바이오메드,"168,734,506,680"
58110,멕아이씨에스,"32,101,060,000"
434480,모니터랩,"60,012,712,500"
80420,모다이노칩,"167,415,406,200"
417970,모델솔루션,"78,871,311,000"
80160,모두투어,"245,889,000,000"
87260,모바일어플라이언스,"69,012,065,320"
101330,모베이스,"78,815,633,745"
12860,모베이스전자,"95,716,128,299"
363260,모비데이즈,"66,257,364,140"
348030,모비릭스,"40,335,960,000"
250060,모비스,"85,736,551,810"
288980,모아데이타,"38,530,566,630"
142760,모아라이프플러스,"58,775,550,610"
33200,모아텍,"48,582,717,150"
333050,모코엠시스,"40,833,507,834"
118990,모트렉스,"217,542,412,500"
463480,모티브링크,"110,645,896,940"
6920,모헨즈,"36,199,800,000"
1810,무림SP,"35,530,687,500"
279600,미디어젠,"47,831,614,010"
95500,미래나노텍,"313,821,189,880"
254490,미래반도체,"267,824,900,000"
218150,미래생명자원,"69,107,489,770"
442900,미래에셋드림스팩1호,"80,793,600,000"
100790,미래에셋벤처투자,"426,590,811,020"
448830,미래에셋비전스팩3호,"10,479,600,000"
477380,미래에셋비전스팩4호,"16,524,000,000"
477470,미래에셋비전스팩5호,"11,343,600,000"
478440,미래에셋비전스팩6호,"14,033,250,000"
482680,미래에셋비전스팩7호,"16,421,785,000"
49950,미래컴퍼니,"142,056,111,240"
207760,미스터블루,"145,555,779,816"
59090,미코,"513,950,045,640"
201490,미투온,"177,478,137,280"
475460,미트박스,"60,597,076,500"
452200,민테크,"70,387,004,000"
206640,바디텍메드,"343,608,372,800"
18700,바른손,"37,718,619,018"
35620,바른손이앤에이,"33,125,655,375"
53030,바이넥스,"566,090,136,160"
301300,바이브컴퍼니,"59,261,977,560"
64550,바이오니아,"373,474,910,770"
314930,바이오다인,"400,922,467,410"
